Firm,Link,Description,Phone,Address,State,Website,Practice Area
Abelmann Peterson LLLC,https://www.us-barassociation.org/firms/detail/04112758481c757a,Abelmann Rollins is focused primarily on bankruptcy law. One of the biggest advantages that we can offer is the fact that you will be able to talk with your lawyer directly.,Phone(s): (808) 589-1010,"677 Ala Moana Boulevard,, Suite #1009
Honolulu, Hawaii
96813", Hawaii,N/A,"Bankruptcy, Business Law"
Adams Miyashiro Krek LLP,https://www.us-barassociation.org/firms/detail/0b877bf9e2dad1f7,"Adams Miyashiro Krek LLP concentrates on general civil and commercial matters. Our attorneys are proficient trial lawyers who have successfully defended clients in high-stakes, bet-the-company litigation, class actions and multi-jurisdictional matters.",Phone(s): (808) 777-2900,"900 Fort Street Mall, Suite 1700
Honolulu, Hawaii
96813", Hawaii,N/A,"Employment, Litigation, Personal Injury"
"Affinity Law Group, LLLC",https://www.us-barassociation.org/firms/detail/52175665450968b7,"At the Affinity Law Group, our attorneys realize the hardships those who file for bankruptcy experience and offer legal advice and help with Chapter 7, 11, and 13 bankruptcy, foreclosure, and debt collection to individuals and businesses.

Our lawyers can explain the various aspects of bankruptcy law and ensure that you receive all of the help and legal services needed for your situation. If you're considering bankruptcy – as an individual or business – and need help understanding your options, the attorneys at Affinity Law Group can help.

Our experienced lawyers also regularly handle matters involving business formations and trusts, probate, and estate planning. We have successfully represented clients throughout Hawaii and understand the unique legal problems and issues facing our clients.

Our Hawaii bankruptcy law firm is conveniently located at Century Square in downtown Honolulu and is run by attorneys who were raised in Hawaii. We can relate to your individual needs, and will treat you with the respect and courtesy that you deserve.",Phone(s): (808) 545-4600,"1188 Bishop Street, Suite 3408
Honolulu, Hawaii
96813", Hawaii,N/A,"Bankruptcy, Business Law, Estate Planning"
"Allen N. Davey, LLC",https://www.us-barassociation.org/firms/detail/2e1ef5bcc4d891a0,"It is difficult, if not impossible, for a novice to understand what the IRS can and cannot do. You need a professional tax attorney as well as a trained and experienced tax CPA to guide you through the mystifying maze of the Internal Revenue Code, Regulations, Revenue Rulings, cases, and the",Phone(s): (808) 545-2222,"1001 Bishop St. Ste 1345
Honolulu, Hawaii
96813", Hawaii,N/A,Tax
Alston Hunt Floyd & Ing,https://www.us-barassociation.org/firms/detail/6758194480108082,"Alston Hunt Floyd & Ing (AHFI) is an experienced, dedicated law firm serving clients in Hawaii. Our firm is known for providing high quality, fast, creative and cost-effective service. We do not try to be ""all things to all people."" If we cannot provide you with the highest quality of legal representation in a particular area, we will refer you to others who can. But in those areas we choose to practice, we are among the best. AHFI lawyers are often recognized authorities in their fields of practice and many have written and lectured in their fields. When you retain AHFI, you can be sure that you will receive accurate, comprehensive, and up-to-date advice.

At Alston Hunt Floyd & Ing (AHFI), we measure our success by your level of satisfaction. We are here to serve you. For us, the practice of law is not simply a business… it is a “calling.” We feel a deep responsibility to our clients and we will work hard to meet your specific needs. AHFI lawyers are also committed to making Hawaii a good place to live and work. We work with community, business, and government leaders on projects designed to improve the quality of life in our State and strengthen our economy. This work gives us a broader perspective on issues which enables us to better assist clients in achieving their ultimate goals.",Phone(s): (808) 524-1800,"1001 Bishop Street, Suite 1800
Honolulu, Hawaii
96813", Hawaii,N/A,"Bankruptcy, Business Law, Employment, Government, Industry, Intellectual Property, Litigation, Motor Vehicle Accidents, Personal Injury, Real Estate"
Ashford & Wriston LLP,https://www.us-barassociation.org/firms/detail/655ab4c79046f7be,"Ashford & Wriston has been trusted for nearly 60 years. We are problem solvers. We have a diverse civil practice with emphasis in all aspects of real property law and civil litigation. Specific areas of practice include real estate, corporate and partnership matters, commercial litigation,",Phone(s): (808) 539-0400,"1099 Alakea St., Suite 1400
Honolulu, Hawaii
96813", Hawaii,N/A,"Bankruptcy, Business Law, Intellectual Property, Litigation, Real Estate"
Bays Lung Rose & Holma,https://www.us-barassociation.org/firms/detail/f2066b0b67b2e224,"Bays Lung Rose & Holma was established in 1986 by a group of experienced attorneys to offer a unique level of expertise in real estate and construction law. We had firm goals in mind: An aggressive spirit, a systematic and logical approach, and a client-first attitude. Since then, the firm has focused on recruiting and nurturing brilliant minds to enhance our expertise in all areas of commercial litigation.

Basically, we believe that there is more than one solution to a problem. We give our clients alternatives. When a problem arises, there is no need for a lengthy learning curve because each member of the team assigned to a client achieves a thorough understanding of their client's business. We are clear and ethical. We are accountable. We live up to the commitments we make.

At Bays Lung Rose & Holma, we take on the tough cases. Clients come to us when the stakes are high and the issues complex. We enjoy the challenge. We fight hard to help our clients win, and we do it the right way. We are accountable. Bays Lung Rose & Holma has participated in a number of landmark cases and earned a reputation for providing the highest quality of representation at a fair and reasonable cost.",Phone(s): (808) 523-9000,"Ali'i Place, Suite 1600, 1099 Alakea Street
Honolulu, Hawaii
96813", Hawaii,N/A,"Business Law, Employment, Litigation, Real Estate"
"Bilecki & Tipon, LLLC",https://www.us-barassociation.org/firms/detail/671633f1ed091114,"When you join the military, you expect fair treatment and an experience that will serve to benefit your sense of respect and honor as well as the country you have dedicated your life to serve. Sometimes your stint within your chosen military branch isn’t as socially quiet as you might like.",Phone(s): (808) 275-4620,"1001 Bishop Street, ASB Tower, Suite 2305
Honolulu, Hawaii
96813", Hawaii,N/A,Criminal Defense
"Blake Goodman, PC",https://www.us-barassociation.org/firms/detail/4638bb5f62036348,"Blake Goodman, PC has helped thousands of families and individuals get a fresh start from debt in the areas surrounding Kaneohe and Honolulu, Hawaii.",Phone(s): (808) 256-3668,"46-005 Kawa St, #212
Kaneohe, Hawaii
96744", Hawaii,N/A,"Bankruptcy, Business Law"
Cades Schutte LLP,https://www.us-barassociation.org/firms/detail/1edab9ad3b2e1019,"Cades Schutte was founded in 1922 and is one of Hawaii's largest and oldest law firms with approximately 70 attorneys. They are a full service firm with an emphasis on business counseling and offer a wide range of legal services. They are proud to serve local, national and international clients from",Phone(s): (808) 521-9345,"75-170 Hualalai Road, Suite B303
Kona, Hawaii
96720", Hawaii,N/A,"Business Law, Commercial Law, Employment, Estate Planning, Immigration, Industry, Intellectual Property, Litigation, Personal Injury, Real Estate"
