Firm,Link,Description,Phone,Address
Amy A. Slayden Family Law PC,https://www.us-barassociation.org/firms/detail/16696f6ffe162d8f,N/A,N/A,N/A
Bailey & Glasser LLP,https://www.us-barassociation.org/firms/detail/1f1f02cbc187e41b,N/A,N/A,N/A
Balch & Bingham LLP,https://www.us-barassociation.org/firms/detail/d98ec432d7628781,N/A,N/A,N/A
"Ball, Ball, Matthews & Novak, P.A.",https://www.us-barassociation.org/firms/detail/197ccf89ca1707cb,N/A,N/A,N/A
"Belt & Bruner, P.C.",https://www.us-barassociation.org/firms/detail/92d49f16967cfc79,N/A,N/A,N/A
"Black Belt Law Group, LLC",https://www.us-barassociation.org/firms/detail/11ffe9fc160eb738,N/A,N/A,N/A
Blackwell Law Firm,https://www.us-barassociation.org/firms/detail/ba44797d8aea02dc,N/A,N/A,N/A
Bradford Ladner LLP,https://www.us-barassociation.org/firms/detail/8eb2c809a5ae5eee,"Bradford Ladner LLP is a full service law firm in Birmingham, Alabama providing civil and criminal trial and appellate representation throughout Alabama in state and federal court. Based in Birmingham Alabama, we handle civil litigation such as business tort claims, business litigation, contract claims and lawsuits, defense of civil lawsuits, and insurance coverage and disputes. We also handle the full array of criminal cases including DUI, Felonies, Misdemeanors, drug crimes, gun crimes, drug trafficking, immigration violations, domestic violence, criminal trials and criminal appeals. We handle all manner of divorce and family law matters, including divorces, child custody matters, child support, and modifications. We service our clients statewide and handle matters in both State District and Circuit Courts and the Federal District courts of Alabama.",Phone(s): (205) 802-8823 or (855) 587-6350,"3928 Montclair Road, Suite 208
Birmingham, Alabama
35213"
Bradley Arant Boult Cummings LLP,https://www.us-barassociation.org/firms/detail/c1e87fb7c0de863b,N/A,N/A,N/A
Bradley Arant Boult Cummings LLP,https://www.us-barassociation.org/firms/detail/09fbbb4c01e6af3b,N/A,N/A,N/A
"Bressler, Amery & Ross, PC",https://www.us-barassociation.org/firms/detail/ac9730782a14f43e,N/A,N/A,N/A
"Briskman & Binion, PC",https://www.us-barassociation.org/firms/detail/d173346ce3a0811b,N/A,N/A,N/A
"Burge & Burge, PC",https://www.us-barassociation.org/firms/detail/52cdb63954dfcc35,N/A,N/A,N/A
"Burke Harvey, LLC",https://www.us-barassociation.org/firms/detail/0e40c9af40457855,N/A,N/A,N/A
Burr & Forman LLP,https://www.us-barassociation.org/firms/detail/230e2e883aebed4c,N/A,N/A,N/A
Burr & Forman LLP,https://www.us-barassociation.org/firms/detail/d7f70c71837073fd,N/A,N/A,N/A
"Candace B. Peeples, LLC",https://www.us-barassociation.org/firms/detail/c8c7bd67e2031fbd,N/A,N/A,N/A
"Carey & Hamner, P.C.",https://www.us-barassociation.org/firms/detail/328ec98e22471e35,N/A,N/A,N/A
Carr Allison,https://www.us-barassociation.org/firms/detail/eef8a49b3fac5126,N/A,N/A,N/A
Carr Allison,https://www.us-barassociation.org/firms/detail/fe00070a0f7747df,N/A,N/A,N/A
"Cindee Dale Holmes, LLC",https://www.us-barassociation.org/firms/detail/22116d3124540c9c,N/A,N/A,N/A
"Clay, Massey & Associates, P.C.",https://www.us-barassociation.org/firms/detail/da777b563c184c07,N/A,N/A,N/A
"Cobb, Boyd, White & Cobb",https://www.us-barassociation.org/firms/detail/652e34025921b9eb,N/A,N/A,N/A
"Constangy, Brooks & Smith, LLP",https://www.us-barassociation.org/firms/detail/f9ee35e4309d044c,N/A,N/A,N/A
"Covenant Law Firm, PC",https://www.us-barassociation.org/firms/detail/c10e041994d274ef,N/A,N/A,N/A
"Cunningham Bounds, LLC",https://www.us-barassociation.org/firms/detail/4710785681785fd5,N/A,N/A,N/A
"Dick & Miller, P.C., Attorneys at Law",https://www.us-barassociation.org/firms/detail/79a63dd62b92e299,N/A,N/A,N/A
Drake Law Firm,https://www.us-barassociation.org/firms/detail/c6a322f97ab8d706,N/A,N/A,N/A
"Eversole Law, LLC",https://www.us-barassociation.org/firms/detail/a83b96b4224879a9,N/A,N/A,N/A
"Farris, Riley & Pitt, LLP",https://www.us-barassociation.org/firms/detail/ce47e113c5d95fc4,N/A,N/A,N/A
"Fischer & Associates, LLC",https://www.us-barassociation.org/firms/detail/d6ff5b62827c4223,N/A,N/A,N/A
FordHarrison,https://www.us-barassociation.org/firms/detail/fce8234b9d1466f3,N/A,N/A,N/A
"Frances H. Hollinger, Attorney at Law",https://www.us-barassociation.org/firms/detail/f8175e2b52a79e3a,N/A,N/A,N/A
"Gina H. McDonald & Associates, L.L.C.",https://www.us-barassociation.org/firms/detail/a6f9110400f2197f,N/A,N/A,N/A
